# BIN  RESOLUTION RANGE  COMPL.    NWORK NFREE   RWORK  RFREE  CCWORK CCFREE
    1   79.98      3.66    1.00     3685   200  0.1607 0.2021   0.938  0.908
    2    3.66      2.91    1.00     3494   177  0.1736 0.1916   0.935  0.897
    3    2.91      2.54    1.00     3429   179  0.1901 0.2196   0.916  0.892
    4    2.54      2.31    0.99     3379   181  0.1899 0.2233   0.917  0.866
    5    2.31      2.14    0.99     3348   199  0.1882 0.2205   0.930  0.887
    6    2.14      2.02    0.99     3340   166  0.1825 0.1956   0.924  0.887
    7    2.02      1.91    0.98     3323   166  0.1837 0.2329   0.918  0.871
    8    1.91      1.83    0.98     3303   175  0.2278 0.2848   0.909  0.829
    9    1.83      1.76    0.98     3255   194  0.2440 0.2925   0.881  0.812
   10    1.76      1.70    0.98     3252   174  0.2209 0.2584   0.868  0.848
